member,IL_mm,CL_mm_hr
423,3.1,2.1
424,5.4,1.41
425,24.2,3.21
426,34.4,2.42
427,11.8,0.91
428,39.6,4.56
429,5.7,2.11
430,34.3,3.17
431,50.4,0.39
432,32.5,3.27
433,27.9,1.47
434,38.4,2.47
435,4.8,1.52
436,10.7,9.5
437,8.5,1.3
438,20.2,6.64
439,30.8,6.82
440,25.2,2.09
441,39.8,1.54
442,9.3,1.89
443,30.1,9.26
444,10.4,3.22
445,12.7,2.77
446,28.6,0.55
447,60.1,5.42
448,24.5,0.79
449,5.5,0.61
450,24.7,1.44
451,4.9,2.37
452,43.5,6.13
453,28.6,4.61
454,9.8,1.19
455,7.4,1.85
456,10.1,4.51
457,60.1,2.66
458,18.8,1.12
459,33.2,1.96
460,25.5,3.27
461,22.9,8.71
462,9.1,3.5
463,53.8,0.46
464,13.6,3.8
465,23.1,1.37
466,28.0,5.63
467,26.0,1.9
468,52.8,1.2
469,9.2,2.33
470,20.3,1.38
471,17.1,1.32
472,19.2,2.94
473,8.3,4.39
474,8.8,5.22
475,12.9,1.96
476,13.8,0.71
477,17.8,2.42
478,24.4,2.15
479,25.4,1.19
480,17.4,6.14
481,17.3,8.74
482,11.1,0.63
483,23.5,4.66
484,14.2,3.4
485,4.6,1.4
486,17.6,3.33
487,19.2,0.97
488,11.4,0.72
489,22.9,9.4
490,22.6,3.34
491,28.1,1.37
492,25.9,2.24
493,26.1,7.92
494,14.2,2.18
495,33.4,6.22
496,22.0,5.73
497,17.9,1.72
498,25.0,3.72
499,15.7,3.49
500,20.5,4.43
501,30.3,1.82
502,43.7,0.64
503,49.1,1.11
504,20.1,3.21
505,20.8,4.46
506,34.2,4.28
507,14.1,3.0
508,38.3,0.8
509,19.8,0.46
510,8.2,4.53
511,6.4,2.8
512,38.8,4.54
513,5.6,1.08
514,13.0,2.01
515,14.8,6.86
516,9.8,1.11
517,14.1,0.68
518,30.6,3.45
519,3.5,3.07
520,37.2,7.98
521,40.4,6.42
522,16.1,4.22
523,9.3,0.47
524,24.0,2.4
525,8.4,6.14
526,15.8,2.15
527,56.1,8.33
528,63.0,3.44
529,32.5,0.91
530,14.0,2.56
531,27.5,3.72
532,28.3,0.7
533,16.6,1.73
534,25.6,3.91
535,3.3,1.06
536,10.9,1.74
537,21.0,3.68
538,9.6,4.47
539,9.6,2.61
540,38.2,8.15
541,61.8,7.07
542,22.2,2.36
543,38.5,1.07
544,62.0,4.44
545,9.0,1.34
546,18.4,5.34
547,16.7,3.02
548,6.8,1.95
549,31.4,2.84
550,18.0,2.7
551,19.1,7.05
552,9.2,1.25
553,10.1,7.16
554,46.5,0.53
555,5.0,4.41
556,11.6,6.87
557,13.4,1.95
558,19.7,0.74
559,23.5,4.77
560,19.8,5.34
561,7.0,1.69
562,11.9,2.61
563,39.0,4.84
564,25.5,1.17
565,26.0,3.29
566,26.8,2.14
567,31.9,1.12
568,5.7,5.17
569,15.9,1.64
570,21.6,7.38
571,14.9,2.91
572,39.1,2.59
573,19.5,2.1
574,32.3,1.98
575,39.9,4.97
576,20.2,3.6
577,47.0,4.45
578,23.5,2.09
579,39.7,1.4
580,15.0,0.81
581,20.0,4.48
582,21.3,2.06
583,7.9,2.56
584,17.0,2.34
585,48.4,2.14
586,25.2,3.65
587,10.0,3.16
588,14.9,8.67
589,10.4,1.0
590,4.0,2.94
591,50.3,0.69
592,18.4,4.82
593,13.9,3.21
594,23.9,2.12
595,3.2,4.73
596,12.9,2.26
597,28.2,1.29
598,25.4,2.36
599,60.4,0.73
600,24.8,6.17
601,19.3,4.04
602,31.8,4.32
603,45.8,5.82
604,29.3,4.62
605,57.0,2.14
606,33.1,0.94
607,41.5,1.86
608,8.2,7.37
609,30.0,7.88
610,18.2,4.39
611,22.1,1.21
612,26.2,1.18
613,58.2,5.9
614,60.9,1.01
615,13.2,3.0
616,30.1,1.88
617,31.1,1.53
618,15.2,3.6
619,8.5,8.24
620,4.8,4.49
621,32.8,2.43
622,19.7,2.19
623,61.1,6.46
624,18.9,2.97
625,59.7,2.48
626,17.3,3.64
627,33.8,1.32
628,7.0,0.69
629,22.2,5.53
630,34.4,3.15
631,49.8,1.09
632,36.7,1.52
633,4.6,9.28
634,16.1,3.32
635,5.2,3.33
636,8.1,0.74
637,27.0,8.56
638,28.8,6.09
639,32.6,2.79
640,41.4,1.57
641,30.4,3.74
642,34.3,5.2
643,5.2,4.57
644,11.6,8.84
645,24.9,3.34
646,40.6,1.62
647,3.0,2.49
648,20.6,4.94
649,27.1,1.41
650,4.3,1.3
651,17.0,3.99
652,44.7,2.21
653,26.9,4.95
654,11.7,1.02
655,40.0,1.69
656,15.2,1.42
657,40.1,3.74
658,13.6,4.31
659,23.6,2.27
660,16.9,2.38
661,12.8,0.98
662,43.7,3.77
663,10.3,9.36
664,7.0,4.49
665,15.0,1.28
666,29.1,3.25
667,35.0,1.51
668,63.6,0.53
669,13.5,1.13
670,17.2,0.88
671,8.8,1.19
672,23.0,4.66
673,63.3,1.5
674,28.1,4.29
675,23.8,7.87
676,16.7,2.95
677,48.0,2.42
678,19.9,4.23
679,8.8,0.86
680,15.8,2.12
681,6.2,2.49
682,10.7,5.17
683,3.7,4.91
684,18.6,5.42
685,25.4,3.74
686,15.1,2.68
687,17.6,5.12
688,56.2,5.8
689,31.2,2.4
690,21.6,9.13
691,13.1,5.82
692,44.9,2.56
693,11.7,0.72
694,14.5,1.28
695,46.9,4.48
696,21.2,0.91
697,30.6,2.34
698,23.6,3.13
699,26.1,5.88
700,13.6,5.41
701,11.8,4.36
702,14.4,2.02
703,9.4,1.01
704,42.4,3.55
705,13.1,1.14
706,22.5,2.87
707,33.7,8.96
708,33.2,2.8
709,18.2,3.4
710,19.3,3.6
711,62.8,5.16
712,27.0,2.16
713,35.8,2.49
714,45.7,1.12
715,33.4,3.2
716,10.2,1.51
717,22.5,2.55
718,7.9,4.38
719,26.1,0.46
720,55.5,2.88
721,20.5,1.11
722,18.0,1.46
723,4.6,0.55
724,56.3,1.1
725,7.9,9.17
726,4.9,9.57
727,12.0,3.94
728,6.1,3.18
729,18.7,4.48
730,20.6,6.15
731,14.0,2.62
732,5.3,0.55
733,8.1,3.84
734,16.5,9.1
735,5.8,1.39
736,27.9,2.31
737,10.8,1.8
738,13.7,1.93
739,16.8,3.95
740,17.5,1.88
741,2.9,7.61
742,8.1,4.6
743,41.1,0.51
744,2.9,4.98
745,20.3,4.44
746,19.7,2.6
747,14.7,2.48
748,17.9,5.23
749,33.0,2.11
750,38.7,1.07
751,12.4,1.58
752,14.4,1.41
753,11.9,3.63
754,19.4,1.13
755,27.3,3.39
756,11.4,2.32
757,14.6,5.29
758,50.9,2.42
759,5.2,7.22
760,18.8,6.22
761,28.7,1.15
762,9.2,3.66
763,5.2,1.25
764,8.9,5.05
765,48.7,3.33
766,3.3,1.51
767,10.3,1.36
768,4.4,2.13
769,8.1,4.71
770,24.8,4.66
771,11.8,0.54
772,22.8,1.54
773,23.6,2.09
774,39.6,3.01
775,3.0,1.04
776,40.1,1.68
777,24.8,5.98
778,9.6,2.38
779,32.5,4.17
780,40.3,2.42
781,12.2,2.32
782,48.7,3.24
783,18.6,1.39
784,24.1,1.36
785,60.9,9.26
786,15.7,5.73
787,35.6,4.11
788,14.2,1.0
789,34.2,0.53
790,24.0,1.12
791,11.1,7.49
792,17.4,4.94
793,14.2,2.64
794,6.7,8.56
795,4.3,1.03
796,15.2,2.85
797,3.8,1.15
798,9.6,1.55
799,29.6,7.57
800,28.5,5.72
801,30.4,0.88
802,14.2,1.36
803,44.1,3.07
804,23.8,0.68
805,8.5,2.8
806,9.0,3.01
807,27.7,1.5
808,9.8,1.5
809,20.3,1.29
810,62.3,7.42
811,3.0,1.92
812,3.6,3.01
813,62.5,1.53
814,23.4,3.78
815,8.6,0.88
816,44.9,0.73
817,43.0,4.17
818,21.4,4.0
819,24.9,1.41
820,12.8,1.77
821,5.3,8.16
822,23.8,0.89
823,13.4,1.15
824,26.5,2.13
825,38.2,1.47
826,3.7,3.42
827,23.8,3.69
828,11.5,2.66
829,42.3,3.17
830,12.2,2.15
831,24.4,4.32
832,22.1,0.59
833,16.9,1.58
834,27.1,3.65
835,29.6,1.66
836,22.7,0.77
837,31.6,1.73
838,60.7,3.86
839,17.6,0.95
840,20.6,3.98
841,3.4,4.47
842,34.0,3.33
843,20.8,1.34
844,17.2,4.78
845,7.5,1.25
846,44.1,6.4
847,16.8,3.81
848,27.3,0.65
849,9.2,4.69
850,56.6,2.54
851,10.0,2.25
852,10.6,2.08
853,40.7,3.14
854,47.5,3.98
855,11.0,6.14
856,19.1,1.44
857,30.1,3.3
858,42.8,3.66
859,16.3,3.59
860,20.7,2.46
861,30.6,1.93
862,29.9,4.34
863,33.1,1.53
864,22.8,1.23
865,7.9,2.77
866,45.9,1.42
867,41.4,0.54
868,34.1,0.63
869,7.8,3.72
870,10.7,8.71
871,30.7,2.26
872,4.0,1.03
873,59.9,4.97
874,16.2,1.4
875,29.2,9.48
876,43.8,2.88
877,16.8,1.31
878,14.3,2.48
879,24.3,1.68
880,23.2,4.5
881,17.3,0.89
882,24.1,5.56
883,51.8,4.39
884,19.0,5.62
885,10.5,6.12
886,16.2,1.3
887,16.8,2.63
888,8.7,5.45
889,9.6,1.87
890,27.4,0.68
891,14.9,1.5
892,55.4,1.34
893,11.9,5.75
894,7.7,2.31
895,31.3,3.64
896,43.1,8.33
897,12.9,1.52
898,10.7,4.33
899,10.2,0.49
900,20.9,0.89
901,19.1,1.08
902,12.4,1.58
903,5.1,1.99
904,19.4,2.38
905,56.2,1.35
906,26.1,0.71
907,19.9,3.6
908,8.1,0.49
909,12.2,4.84
910,13.4,7.2
911,32.0,3.85
912,42.6,3.08
913,45.5,3.47
914,60.9,3.44
915,60.5,7.29
916,55.1,8.4
917,6.4,2.12
918,8.9,3.21
919,13.8,4.74
920,22.1,0.38
921,7.6,2.66
922,39.2,3.44
923,24.7,3.91
924,21.7,1.83
925,9.6,1.51
926,12.2,1.14
927,9.5,2.85
928,39.9,6.86
929,23.4,6.14
930,30.2,1.79
931,13.5,1.39
932,16.0,4.59
933,17.1,3.99
934,31.7,2.53
935,32.5,1.93
936,10.8,0.95
937,52.9,4.56
938,8.4,3.21
939,44.8,1.87
940,7.8,6.84
941,12.5,3.49
942,39.3,7.2
943,10.0,2.37
944,17.4,2.26
945,18.5,7.48
946,12.0,8.25
947,28.6,8.28
948,39.8,4.98
949,42.4,2.3
950,14.9,1.23
951,21.2,1.9
952,12.1,7.51
953,11.9,1.81
954,9.5,4.29
955,52.6,6.99
956,43.9,8.61
957,32.8,7.83
958,20.7,2.83
959,19.7,2.46
960,21.2,9.2
961,21.5,1.26
962,18.0,1.16
963,8.7,8.36
964,8.5,3.68
965,54.9,2.72
966,19.5,0.98
967,55.1,2.58
968,9.6,7.71
969,22.2,3.12
970,10.8,2.0
971,12.2,2.81
972,4.3,5.99
973,8.3,6.64
974,48.3,1.98
975,14.3,3.15
976,24.3,1.46
977,19.0,2.24
978,17.0,1.26
979,21.3,2.69
980,10.2,2.97
981,61.7,1.7
982,36.2,1.43
983,30.6,1.04
984,19.1,1.0
985,9.3,3.86
986,49.0,1.27
987,15.0,0.93
988,5.3,9.59
989,15.0,1.39
990,33.9,6.14
991,24.9,3.16
992,31.2,3.89
993,33.8,2.87
994,11.0,1.14
995,49.6,5.41
996,18.1,5.12
997,25.6,1.75
998,2.9,4.36
999,62.6,2.76
1000,13.0,6.51
