member,IL_mm,CL_mm_hr
423,3.1,2.1
424,5.4,1.41
425,24.2,3.21
426,34.4,2.42
427,11.8,0.91
428,39.6,4.56
429,5.7,2.11
430,34.3,3.17
431,50.4,0.39
432,32.5,3.27
433,27.9,1.47
434,38.4,2.47
435,4.8,1.52
436,10.7,9.5
437,8.5,1.3
438,20.2,6.64
439,30.8,6.82
440,25.2,2.09
441,39.8,1.54
442,9.3,1.89
443,30.1,9.26
444,10.4,3.22
445,12.7,2.77
446,28.6,0.55
447,60.1,5.42
448,24.5,0.79
449,5.5,0.61
450,24.7,1.44
451,4.9,2.37
452,43.5,6.13
453,28.6,4.61
454,9.8,1.19
455,7.4,1.85
456,10.1,4.51
457,60.1,2.66
458,18.8,1.12
459,33.2,1.96
460,25.5,3.27
461,22.9,8.71
462,9.1,3.5
463,53.8,0.46
464,13.6,3.8
465,23.1,1.37
466,28.0,5.63
467,26.0,1.9
468,52.8,1.2
469,9.2,2.33
470,20.3,1.38
471,17.1,1.32
472,19.2,2.94
473,8.3,4.39
474,8.8,5.22
475,12.9,1.96
476,13.8,0.71
477,17.8,2.42
478,24.4,2.15
479,25.4,1.19
480,17.4,6.14
481,17.3,8.74
482,11.1,0.63
483,23.5,4.66
484,14.2,3.4
485,4.6,1.4
486,17.6,3.33
487,19.2,0.97
488,11.4,0.72
489,22.9,9.4
490,22.6,3.34
491,28.1,1.37
492,25.9,2.24
493,26.1,7.92
494,14.2,2.18
495,33.4,6.22
496,22.0,5.73
497,17.9,1.72
498,25.0,3.72
499,15.7,3.49
500,20.5,4.43
